PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
91,104,0,9,7,2,1,6,10
90,102,0,10,8,2,1,6,11
91,104,0,9,7,2,1,6,10
97,101,0,7,6,1,1,6,11
93,101,0,7,8,1,1,8,11
91,105,0,7,8,1,1,7,10
93,98,0,11,8,1,1,8,10
91,105,0,7,8,1,1,6,11
98,98,0,8,6,1,1,7,11
87,108,0,7,8,2,1,7,10
95,98,0,9,6,1,1,9,11
95,96,0,9,8,1,1,9,11
94,100,0,7,7,2,1,8,11
98,98,0,7,7,2,1,6,11
99,97,0,7,7,2,1,8,9
93,99,0,8,8,1,1,9,11
96,101,0,7,7,2,1,6,10
92,105,0,7,7,1,1,6,11
91,105,0,7,7,2,1,6,11
91,103,1,9,8,1,1,6,10
96,96,0,10,8,1,1,7,11
94,97,0,8,9,1,1,9,11
96,98,0,8,8,1,1,7,11
96,98,0,7,7,1,1,9,11
92,101,0,9,9,1,1,6,11
99,97,0,7,7,1,1,8,10
94,99,0,8,8,2,1,7,11
91,104,0,9,6,1,1,8,10
96,102,0,7,7,1,1,6,10
98,93,0,11,7,2,1,8,10
91,103,0,9,8,1,1,6,11
95,97,0,9,7,1,1,9,11
92,105,0,7,7,1,1,6,11
98,94,0,11,7,1,1,8,10
97,97,0,9,9,1,1,6,10
97,99,0,9,7,1,1,6,10
93,99,0,8,8,2,1,8,11
90,105,1,10,6,1,1,6,10
98,94,0,11,8,1,1,6,11
96,98,0,9,6,1,1,8,11
96,97,0,8,7,1,1,9,11
90,103,0,8,7,1,1,9,11
93,101,0,7,7,1,1,9,11
96,97,0,9,9,1,1,6,11
99,97,0,9,7,1,1,6,10
95,97,0,9,8,1,1,9,10
95,100,0,7,8,2,1,7,10
90,104,0,7,7,1,1,9,11
98,98,0,7,7,2,1,8,9
94,96,0,10,8,1,1,9,11
95,96,0,9,8,1,1,9,11
92,105,0,7,6,1,1,8,10
93,100,0,10,7,2,1,6,11
99,96,0,8,8,1,1,6,11
96,98,0,9,7,1,1,8,10
95,101,0,7,8,2,1,6,10
91,105,0,7,7,1,1,8,10
90,103,0,9,8,2,1,6,11
97,97,0,8,8,2,1,6,11
94,100,0,10,7,1,1,6,11
94,103,0,7,7,1,1,7,10
96,97,0,8,8,1,1,9,10
91,105,0,7,7,1,1,8,10
93,100,0,7,8,2,1,8,11
96,97,0,10,8,1,1,6,11
95,96,0,9,8,2,1,8,11
89,106,0,7,8,2,1,6,11
98,96,0,8,8,2,1,7,10
98,95,0,8,7,1,1,9,11
95,98,0,9,7,2,1,8,10
96,102,0,7,7,1,1,6,10
96,100,0,7,8,1,2,6,10
90,105,0,7,8,2,1,6,11
97,97,0,8,8,2,1,7,10
93,98,0,8,8,1,1,10,11
94,97,0,9,8,1,1,9,11
94,100,0,9,8,2,1,6,10
101,94,0,9,8,2,1,6,9
95,101,0,7,8,1,1,7,10
99,95,0,11,8,2,1,6,8
93,100,0,9,8,1,1,8,10
96,100,0,7,6,1,1,8,11
96,100,0,7,7,2,1,6,11
92,99,0,9,9,2,1,8,10
98,98,0,7,7,1,1,8,10
